m1,m2,m3,repository,version,ncloc,asc1,ac1,totalAC1
0.7142857142857143,0.0,1.0,Users,04-04-2021,33.285714285714285,0.5657142857142857,0.5657142857142857,0.28285714285714286
0.6363636363636364,0.0,1.0,Users,04-05-2021,56.90909090909091,0.54,0.54,0.27
0.7142857142857143,0.0,1.0,Users,13-04-2021,33.57142857142857,0.5657142857142857,0.5657142857142857,0.28285714285714286
0.75,0.0,1.0,Users,14-04-2021,37.0,0.5775,0.5775,0.28875
0.6,0.0,1.0,Users,14-05-2021,37.5,0.528,0.528,0.264
0.7777777777777778,0.0,1.0,Users,16-04-2021,33.22222222222222,0.5866666666666667,0.5866666666666667,0.29333333333333333
0.6,0.0,1.0,Users,16-05-2021,37.5,0.528,0.528,0.264
0.7777777777777778,0.0,1.0,Users,20-04-2021,33.22222222222222,0.5866666666666667,0.5866666666666667,0.29333333333333333
0.7142857142857143,0.0,1.0,Users,23-03-2021,33.285714285714285,0.5657142857142857,0.5657142857142857,0.28285714285714286
0.6363636363636364,0.0,1.0,Users,30-04-2021,56.90909090909091,0.54,0.54,0.27
0.75,0.0,1.0,Sectors,04-04-2021,36.25,0.5775,0.5775,0.28875
0.6666666666666666,0.0,1.0,Sectors,04-05-2021,38.22222222222222,0.55,0.55,0.275
0.625,0.0,1.0,Sectors,14-05-2021,26.875,0.53625,0.53625,0.268125
0.625,0.0,1.0,Sectors,16-05-2021,27.5,0.53625,0.53625,0.268125
0.75,0.0,1.0,Sectors,25-04-2021,41.875,0.5775,0.5775,0.28875
0.6560283687943262,0.010638297872340425,0.9929078014184397,Frontend,01-05-2021,68.78014184397163,0.5476595744680852,0.5476595744680852,0.2738297872340426
0.6527777777777778,0.013888888888888888,0.9930555555555556,Frontend,04-05-2021,68.3125,0.5477083333333334,0.5477083333333334,0.2738541666666667
0.6527777777777778,0.013888888888888888,0.9930555555555556,Frontend,14-05-2021,68.3125,0.5477083333333334,0.5477083333333334,0.2738541666666667
0.6495726495726496,0.0,0.9658119658119658,Frontend,16-04-2021,59.41880341880342,0.5330769230769231,0.5330769230769231,0.26653846153846156
0.6527777777777778,0.013888888888888888,0.9930555555555556,Frontend,16-05-2021,68.28819444444444,0.5477083333333334,0.5477083333333334,0.2738541666666667
0.6470588235294118,0.0,0.9831932773109243,Frontend,17-04-2021,60.226890756302524,0.5379831932773109,0.5379831932773109,0.26899159663865546
0.6485355648535565,0.0,0.9832635983263598,Frontend,18-04-2021,61.26359832635983,0.5384937238493724,0.5384937238493724,0.2692468619246862
0.6717171717171717,0.012626262626262626,0.9684343434343434,Frontend,18-05-2021,69.43813131313131,0.5454166666666667,0.5454166666666667,0.27270833333333333
0.65,0.0,0.9833333333333333,Frontend,19-04-2021,62.25,0.539,0.539,0.2695
0.6611570247933884,0.0,0.9752066115702479,Frontend,20-04-2021,64.52066115702479,0.54,0.54,0.27
0.6694214876033058,0.0,0.9752066115702479,Frontend,22-04-2021,65.12396694214875,0.5427272727272727,0.5427272727272727,0.27136363636363636
0.6673346693386774,0.0,0.9759519038076152,Frontend,23-04-2021,65.23246492985972,0.5422845691382766,0.5422845691382766,0.2711422845691383
0.6666666666666666,0.0,0.9710144927536232,Frontend,24-03-2021,50.608695652173914,0.5404347826086957,0.5404347826086957,0.27021739130434785
0.66796875,0.0,0.9765625,Frontend,24-04-2021,66.09375,0.5426953125,0.5426953125,0.27134765625
0.6666666666666666,0.0,0.9767441860465116,Frontend,26-04-2021,67.32558139534883,0.5423255813953488,0.5423255813953488,0.2711627906976744
0.6666666666666666,0.0,0.9767441860465116,Frontend,29-04-2021,67.35271317829458,0.5423255813953488,0.5423255813953488,0.2711627906976744
0.6608910891089109,0.0049504950495049506,0.9900990099009901,Frontend,30-04-2021,68.36262376237623,0.546460396039604,0.546460396039604,0.273230198019802
0.6842105263157895,0.0,0.9473684210526315,Demands,01-05-2021,108.13157894736842,0.5384210526315789,0.5384210526315789,0.26921052631578946
0.6842105263157895,0.0,0.9473684210526315,Demands,04-05-2021,111.0,0.5384210526315789,0.5384210526315789,0.26921052631578946
0.7,0.0,1.0,Demands,16-04-2021,109.5,0.5609999999999999,0.5609999999999999,0.28049999999999997
0.6470588235294118,0.0,1.0,Demands,16-05-2021,66.17647058823529,0.5435294117647059,0.5435294117647059,0.27176470588235296
0.7,0.0,1.0,Demands,18-04-2021,123.96666666666667,0.5609999999999999,0.5609999999999999,0.28049999999999997
0.7,0.0,1.0,Demands,19-04-2021,131.2,0.5609999999999999,0.5609999999999999,0.28049999999999997
0.7,0.0,1.0,Demands,20-04-2021,131.2,0.5609999999999999,0.5609999999999999,0.28049999999999997
0.6,0.0,1.0,Demands,23-03-2021,26.2,0.528,0.528,0.264
0.7,0.0,1.0,Demands,24-04-2021,143.1,0.5609999999999999,0.5609999999999999,0.28049999999999997
0.7058823529411765,0.0,1.0,Demands,30-04-2021,99.0,0.5629411764705883,0.5629411764705883,0.28147058823529414
0.7142857142857143,0.0,0.9285714285714286,Clients,04-05-2021,50.07142857142857,0.5421428571428571,0.5421428571428571,0.2710714285714286
0.75,0.0,1.0,Clients,16-04-2021,51.625,0.5775,0.5775,0.28875
0.6666666666666666,0.0,0.9166666666666666,Clients,16-05-2021,39.0,0.5225,0.5225,0.26125
0.6666666666666666,0.0,0.9166666666666666,Clients,18-05-2021,39.416666666666664,0.5225,0.5225,0.26125
0.75,0.0,1.0,Clients,20-04-2021,51.625,0.5775,0.5775,0.28875
0.6,0.0,1.0,Clients,23-03-2021,43.6,0.528,0.528,0.264
